result,year,genres,views,spotify_name,spotify_artist
The Man with the Child in His Eyes,1978,['Progressive pop'],16909,The Man with the Child in His Eyes,Kate Bush
Just Dropped In (To See What Condition My Condition Was In),0,['Psychedelic pop'],61166,Just Dropped In,Kenny Rogers
Lola (song),1970,"['Rock music', 'Folk rock']",147083,Lola - Remastered,The Kinks
My Sharona,1979,"['Power pop', 'New wave music']",128443,My Sharona,The Knack
Jungle Boogie,1973,['Funk'],27328,Jungle Boogie,Kool & The Gang
The Robots,1978,"['Electronic music', 'Synthpop']",13454,The Robots - 2009 Remastered Version,Kraftwerk
Lady Marmalade,1974,"['Soul music', 'Disco']",270198,Lady Marmalade,LaBelle
D'yer Mak'er,1973,['Reggae rock'],44864,D'yer Mak'er - Remastered,Led Zeppelin
Since I've Been Loving You,1970,['Blues rock'],21991,Since I've Been Loving You - 1990 Remaster,Led Zeppelin
All My Love (Led Zeppelin song),1979,['Rock music'],44202,All My Love - Remastered,Led Zeppelin
Rock and Roll (Led Zeppelin song),1972,"['Rock and roll', 'Hard rock']",30485,Rock and Roll - Remaster,Led Zeppelin
